minute,decision,quality,base_decision,base_confirmation,side,strike,underlying,regime,regime_lookback_pct,und_pre_1m,und_pre_3m,und_pre_5m,opt_pre_3m,opt_pre_5m,bid,ask,ltp,spread,spread_pct,delta,iv,theta,gamma,vega,volume,oi,volume_ratio,oi_pct_3m,option_categories,entry_timing,iv_state,iv_change_pct,expected_move,economics_ratio,entry_value,quantity,risk_state,primary_rejection_reason,reason_note,version,config_hash,market,session_date
11:03,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:04,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:05,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:06,WAIT,NO_TRADE,BUY_PE,MODERATE,PE,24200.0,24215.9,UNKNOWN,,0.008466229038351647,-0.02250081023558592,,3.0064214827787374,,88.1,88.35,88.4,0.25,,-0.45836,16.718359871703758,-32.30993,0.00158,5.97636,233302615.0,25347530.0,1.652277692369933,-1.2936849645508552,0,,,,,,,,ACTIVE,REGIME_UNKNOWN,No underlying history for a regime reading.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:07,WAIT,NO_TRADE,BUY_CE,STRONG,CE,24200.0,24223.85,UNKNOWN,,0.032829669762416795,-0.004127992536589495,,2.3111111111111144,,86.2,86.45,86.45,0.25,,0.57799,11.417965731301384,-27.65281,0.00227,5.89447,246607465.0,18782985.0,1.231468311170086,-0.6159719356170037,0,,,,,,,,ACTIVE,REGIME_UNKNOWN,No underlying history for a regime reading.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:08,WAIT,NO_TRADE,BUY_CE,MODERATE,CE,24200.0,24228.55,UNKNOWN,,0.019402365850187845,0.06070905700663351,0.029725841045196603,8.756188118811865,3.3215755437977523,87.75,88.0,88.0,0.25,,0.58894,11.258065905677151,-27.2631,0.00229,5.85929,248910155.0,18708105.0,1.2635986845390537,-1.012174989682212,0,,,,,,,,ACTIVE,REGIME_UNKNOWN,No underlying history for a regime reading.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:09,WAIT,NO_TRADE,BUY_CE,MODERATE,CE,24200.0,24229.1,UNKNOWN,,0.0022700491775169067,0.05450964036024714,0.017543968280505348,8.234217749313816,5.155555555555549,88.6,88.85,88.85,0.25,,0.59334,11.224697398013046,-27.16974,0.0023,5.84302,252143840.0,18842525.0,1.3995037639671877,1.7136781976203594,0,,,,,,,,ACTIVE,REGIME_UNKNOWN,No underlying history for a regime reading.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:10,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:11,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:12,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:13,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:14,WAIT,NO_TRADE,BUY_PE,STRONG,PE,24200.0,24215.35,RANGE,-0.03921592909760019,-0.02126297970727877,-0.02167576360618647,-0.05674994118642459,3.541912632821724,6.335253107002116,87.6,87.8,87.8,0.20000000000000284,,-0.45825,16.644085027920024,-32.22215,0.00159,5.9644,245732175.0,25750985.0,0.9965818637713042,-0.2017784719248306,0,,,,,,,,ACTIVE,REGIME_RANGE,No trend: -0.04% over 10 minutes.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:15,WAIT,NO_TRADE,BUY_PE,STRONG,PE,24200.0,24216.9,RANGE,0.012596096861931954,0.006400898603583721,-0.01630826333508977,-0.05241522765541772,3.4822983168891466,8.819041806530374,89.05,89.25,89.25,0.20000000000000284,,-0.45755,16.960110716140903,-32.8997,0.00156,5.96204,247312780.0,25778155.0,1.3037347601840037,0.25735080352605993,0,,,,,,,,ACTIVE,REGIME_RANGE,No trend: +0.01% over 10 minutes.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:16,WAIT,NO_TRADE,BUY_PE,STRONG,PE,24200.0,24208.95,RANGE,-0.02870015155332128,-0.032828314111222855,-0.04768687681922038,-0.04809955162133811,7.874927620150564,9.976387249114543,93.0,93.3,93.0,0.29999999999999716,,-0.47192,16.868123016347333,-32.71922,0.00157,5.9774,251075045.0,25738180.0,2.324575495188678,0.01717588102166182,0,,,,,,,,ACTIVE,REGIME_RANGE,No trend: -0.03% over 10 minutes.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:17,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:18,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
11:19,WAIT,NO_TRADE,WAIT,NONE,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,ACTIVE,NO_BASE_SIGNAL,12C says WAIT this minute.,13A-live-scalping-engine-v1,7165af1287d25148,NIFTY,2026-07-20
